START_TIME, END_TIME, CHAMBER, RECIPE, LOT_ID, WAFER_ID, SLOT_NUM
1/9/2020 8:16:48 AM,1/9/2020 8:27:31 AM,SDC3,200108 Al 25V  200mA,COSMOS-2,notspecified,05
DATE_TIME, RPM,PS_FwdTot,Flow,PS_FwdVolt,PS_FwdAmp,Temp,
1/9/2020 8:16:48 AM,0,174.9212,5.1,0,0,18.7,
1/9/2020 8:16:49 AM,0,174.9212,5.1,0,0,18.8,
1/9/2020 8:16:50 AM,0,174.9212,5.1,0,0,18.7,
1/9/2020 8:16:51 AM,0,174.9212,5.1,0,0,18.7,
1/9/2020 8:16:52 AM,0,174.9212,5.1,0,0,18.7,
1/9/2020 8:16:53 AM,0,174.9212,5.2,0,0,18.6,
1/9/2020 8:16:54 AM,0,174.9212,5.2,0,0,18.6,
1/9/2020 8:16:55 AM,0,174.9212,5.1,0,0,18.6,
1/9/2020 8:16:56 AM,0,174.9212,5.1,0,0,18.6,
1/9/2020 8:16:57 AM,0,174.9212,5,0,0,18.6,
1/9/2020 8:16:58 AM,3,174.9212,5,0,0,18.6,
1/9/2020 8:16:59 AM,2,174.9212,5,0,0,18.6,
1/9/2020 8:17:00 AM,2,174.9212,5,0,0,18.6,
1/9/2020 8:17:01 AM,2,174.9212,5,0,0,18.6,
1/9/2020 8:17:02 AM,2,174.9212,5,0,0,18.6,
1/9/2020 8:17:04 AM,2,174.9212,5,0,0,18.6,
1/9/2020 8:17:05 AM,2,174.9212,5,0,0,18.6,
1/9/2020 8:17:06 AM,47,174.9212,5,0,0,18.6,
1/9/2020 8:17:07 AM,98,174.9212,5,24.97,0,18.6,
1/9/2020 8:17:08 AM,104,174.9212,5,24.97,0,18.6,
1/9/2020 8:17:09 AM,100,174.9212,5,25.007,0.0714,18.6,
1/9/2020 8:17:10 AM,100,174.9212,5,25.007,0.0714,18.6,
1/9/2020 8:17:11 AM,99,174.9212,5,25.007,0.0711,18.6,
1/9/2020 8:17:12 AM,98,174.925,5,25.007,0.0705,18.6,
1/9/2020 8:17:13 AM,99,174.925,5,25.007,0.0705,18.6,
1/9/2020 8:17:14 AM,96,174.925,5,25.007,0.0698,18.6,
1/9/2020 8:17:15 AM,99,174.925,5.1,25.007,0.0695,18.6,
1/9/2020 8:17:16 AM,100,174.925,5.1,25.007,0.0695,18.6,
1/9/2020 8:17:17 AM,100,174.9309,5.1,25.007,0.0689,18.6,
1/9/2020 8:17:18 AM,97,174.9309,5.1,25.007,0.0686,18.6,
1/9/2020 8:17:19 AM,100,174.9309,5.1,25.007,0.0686,18.6,
1/9/2020 8:17:20 AM,98,174.9309,5,25.007,0.0681,18.6,
1/9/2020 8:17:21 AM,94,174.9309,5,25.007,0.0678,18.6,
1/9/2020 8:17:22 AM,102,174.9366,5,25.007,0.0678,18.6,
1/9/2020 8:17:23 AM,100,174.9366,5,25.007,0.0673,18.7,
1/9/2020 8:17:24 AM,97,174.9366,5.1,25.007,0.067,18.6,
1/9/2020 8:17:25 AM,99,174.9366,5.1,25.007,0.067,18.6,
1/9/2020 8:17:26 AM,96,174.9366,5.1,25.007,0.0668,18.6,
1/9/2020 8:17:27 AM,104,174.9424,5.2,25.007,0.0668,18.7,
1/9/2020 8:17:28 AM,100,174.9424,5.2,25.007,0.0665,18.6,
1/9/2020 8:17:29 AM,101,174.9424,5.1,25.007,0.066,18.6,
1/9/2020 8:17:30 AM,99,174.9424,5.1,25.007,0.066,18.6,
1/9/2020 8:17:31 AM,96,174.9424,5.2,25.007,0.0655,18.6,
1/9/2020 8:17:32 AM,99,174.948,5.2,25.007,0.0654,18.6,
1/9/2020 8:17:33 AM,104,174.948,5.2,25.007,0.0654,18.6,
1/9/2020 8:17:34 AM,99,174.948,5.2,25.007,0.0649,18.6,
1/9/2020 8:17:35 AM,101,174.948,5.2,25.007,0.0648,18.6,
1/9/2020 8:17:36 AM,102,174.948,5.1,25.007,0.0648,18.6,
1/9/2020 8:17:37 AM,96,174.9534,5.1,25.007,0.0644,18.6,
1/9/2020 8:17:38 AM,100,174.9534,5.1,25.007,0.0636,18.6,
1/9/2020 8:17:39 AM,104,174.9534,5.1,25.007,0.0636,18.6,
1/9/2020 8:17:40 AM,96,174.9534,5.1,25.007,0.0636,18.6,
1/9/2020 8:17:41 AM,101,174.9534,5.1,25.007,0.0633,18.6,
1/9/2020 8:17:42 AM,101,174.9588,5.1,25.007,0.0633,18.6,
1/9/2020 8:17:43 AM,102,174.9588,5.1,25.007,0.0632,18.6,
1/9/2020 8:17:44 AM,101,174.9588,5.1,25.007,0.0632,18.6,
1/9/2020 8:17:45 AM,101,174.9588,5.1,25.007,0.0628,18.6,
1/9/2020 8:17:46 AM,95,174.9588,5.1,25.007,0.0627,18.6,
1/9/2020 8:17:47 AM,101,174.964,5.1,25.007,0.0627,18.6,
1/9/2020 8:17:48 AM,100,174.964,5.1,25.007,0.0622,18.6,
1/9/2020 8:17:49 AM,101,174.964,5.1,25.007,0.0619,18.6,
1/9/2020 8:17:50 AM,100,174.964,5.1,25.007,0.0619,18.6,
1/9/2020 8:17:51 AM,99,174.964,5,25.007,0.0616,18.7,
1/9/2020 8:17:52 AM,105,174.9693,5,25.007,0.0613,18.6,
1/9/2020 8:17:53 AM,100,174.9693,5.1,25.007,0.0613,18.6,
1/9/2020 8:17:54 AM,100,174.9693,5.1,25.007,0.0611,18.6,
1/9/2020 8:17:55 AM,102,174.9693,5,25.007,0.0608,18.6,
1/9/2020 8:17:56 AM,98,174.9693,5,25.007,0.0608,18.6,
1/9/2020 8:17:57 AM,99,174.9744,5,25.007,0.0606,18.6,
1/9/2020 8:17:58 AM,98,174.9744,5,25.007,0.0603,18.6,
1/9/2020 8:17:59 AM,103,174.9744,5,25.007,0.0603,18.6,
1/9/2020 8:18:00 AM,99,174.9744,5,25.007,0.06,18.6,
1/9/2020 8:18:01 AM,100,174.9744,5,25.007,0.0598,18.6,
1/9/2020 8:18:02 AM,99,174.9795,5.1,25.007,0.0598,18.6,
1/9/2020 8:18:03 AM,101,174.9795,5.1,25.007,0.0594,18.6,
