START_TIME, END_TIME, CHAMBER, RECIPE, LOT_ID, WAFER_ID, SLOT_NUM
12/5/2016 9:05:13 PM,12/5/2016 9:06:18 PM,SDC1,161110 Vac Prewet,notspecified,notspecified,0
DATE_TIME, Manometer1000,Manometer100,
12/5/2016 9:05:19 PM,750.3,100,
12/5/2016 9:05:21 PM,750.1,100,
12/5/2016 9:05:22 PM,603.5,100,
12/5/2016 9:05:23 PM,419.3,100,
12/5/2016 9:05:24 PM,200.8,100,
12/5/2016 9:05:25 PM,111.7,84.5,
12/5/2016 9:05:26 PM,77.6,62.4,
12/5/2016 9:05:27 PM,58,48.1,
12/5/2016 9:05:28 PM,47.7,41,
12/5/2016 9:05:29 PM,41.4,36.3,
12/5/2016 9:05:30 PM,37.9,33.6,
12/5/2016 9:05:31 PM,34.8,31.8,
12/5/2016 9:05:32 PM,32.7,30.6,
12/5/2016 9:05:33 PM,31.4,29.6,
12/5/2016 9:05:34 PM,30.4,28.9,
12/5/2016 9:05:35 PM,29.6,28.1,
12/5/2016 9:05:36 PM,28.8,26.6,
12/5/2016 9:05:37 PM,27.4,25.1,
12/5/2016 9:05:38 PM,26,24.5,
12/5/2016 9:05:39 PM,25.1,24.1,
12/5/2016 9:05:40 PM,24.7,23.9,
12/5/2016 9:05:41 PM,24.5,23.7,
12/5/2016 9:05:42 PM,24.3,23.5,
12/5/2016 9:05:43 PM,24.1,23.4,
12/5/2016 9:05:44 PM,24,23.2,
12/5/2016 9:05:45 PM,23.8,23,
12/5/2016 9:05:46 PM,23.6,22.9,
12/5/2016 9:05:47 PM,23.4,22.7,
12/5/2016 9:05:48 PM,23.2,22.5,
12/5/2016 9:05:49 PM,23,22.3,
12/5/2016 9:05:50 PM,22.8,22.1,
12/5/2016 9:05:51 PM,23.3,25.7,
12/5/2016 9:05:52 PM,27.4,29.2,
12/5/2016 9:05:53 PM,29.4,29.8,
12/5/2016 9:05:54 PM,30.3,30.3,
12/5/2016 9:05:55 PM,30.8,30.8,
12/5/2016 9:05:56 PM,191.3,86.2,
12/5/2016 9:05:57 PM,543.4,100,
12/5/2016 9:05:58 PM,625,100,
12/5/2016 9:05:59 PM,701.5,100,
12/5/2016 9:06:00 PM,741.9,100,
12/5/2016 9:06:01 PM,750.2,100,
12/5/2016 9:06:02 PM,750.7,100,
12/5/2016 9:06:03 PM,750.6,100,
12/5/2016 9:06:04 PM,750.6,100,
12/5/2016 9:06:05 PM,750.5,100,
12/5/2016 9:06:06 PM,750.4,100,
12/5/2016 9:06:07 PM,749.9,100,
12/5/2016 9:06:08 PM,749.7,100,
12/5/2016 9:06:09 PM,749.7,100,
12/5/2016 9:06:10 PM,749.6,100,
12/5/2016 9:06:11 PM,750,100,
12/5/2016 9:06:12 PM,750.1,100,
12/5/2016 9:06:13 PM,750.2,100,
12/5/2016 9:06:14 PM,750.2,100,
12/5/2016 9:06:15 PM,750.1,100,
12/5/2016 9:06:16 PM,750.1,100,
12/5/2016 9:06:17 PM,750.1,100,
12/5/2016 9:06:18 PM,750.1,100,
12/5/2016 9:06:19 PM,750.1,100,
12/5/2016 9:06:20 PM,750.1,100,
12/5/2016 9:06:21 PM,750.1,100,
12/5/2016 9:06:22 PM,750.1,100,
12/5/2016 9:06:23 PM,750.1,100,
12/5/2016 9:06:24 PM,750.1,100,
