START_TIME, END_TIME, CHAMBER, RECIPE, LOT_ID, WAFER_ID, SLOT_NUM
9/26/2016 11:06:46 AM,9/26/2016 11:07:49 AM,SDC1,BVacPrewet,notspecified,notspecified,0
DATE_TIME, Manometer1000,Manometer100,
9/26/2016 11:06:47 AM,701.1,100,
9/26/2016 11:06:48 AM,632.8,100,
9/26/2016 11:06:49 AM,507,100,
9/26/2016 11:06:50 AM,351.7,100,
9/26/2016 11:06:51 AM,200.6,100,
9/26/2016 11:06:52 AM,125.6,100,
9/26/2016 11:06:53 AM,90.5,87.9,
9/26/2016 11:06:54 AM,71.4,69.2,
9/26/2016 11:06:55 AM,61.9,59,
9/26/2016 11:06:56 AM,55.7,52.6,
9/26/2016 11:06:57 AM,51.4,47.9,
9/26/2016 11:06:58 AM,47.5,44.4,
9/26/2016 11:06:59 AM,43.9,41,
9/26/2016 11:07:00 AM,41.4,39.3,
9/26/2016 11:07:01 AM,44.2,44.9,
9/26/2016 11:07:02 AM,49.2,48.9,
9/26/2016 11:07:03 AM,50.1,49.7,
9/26/2016 11:07:04 AM,50.4,49.9,
9/26/2016 11:07:05 AM,50.5,49.9,
9/26/2016 11:07:06 AM,50.5,49.9,
9/26/2016 11:07:07 AM,50.5,49.9,
9/26/2016 11:07:08 AM,50.5,49.9,
9/26/2016 11:07:09 AM,50.5,49.9,
9/26/2016 11:07:10 AM,50.4,49.9,
9/26/2016 11:07:11 AM,50.5,49.9,
9/26/2016 11:07:12 AM,50.4,49.9,
9/26/2016 11:07:13 AM,50.4,49.9,
9/26/2016 11:07:14 AM,50.4,50,
9/26/2016 11:07:15 AM,50.4,49.9,
9/26/2016 11:07:16 AM,50.4,49.9,
9/26/2016 11:07:17 AM,50.4,50,
9/26/2016 11:07:18 AM,50.4,50,
9/26/2016 11:07:19 AM,50.4,50,
9/26/2016 11:07:20 AM,50.4,50,
9/26/2016 11:07:21 AM,50.4,50,
9/26/2016 11:07:22 AM,50.4,50,
9/26/2016 11:07:23 AM,50.4,50,
9/26/2016 11:07:24 AM,50.4,50,
9/26/2016 11:07:25 AM,197.9,85.3,
9/26/2016 11:07:26 AM,509.6,100,
9/26/2016 11:07:27 AM,585.3,100,
9/26/2016 11:07:28 AM,658.1,100,
9/26/2016 11:07:29 AM,689.6,100,
9/26/2016 11:07:30 AM,695.2,100,
9/26/2016 11:07:31 AM,695.2,100,
9/26/2016 11:07:32 AM,695.1,100,
9/26/2016 11:07:33 AM,695,100,
9/26/2016 11:07:34 AM,695,100,
9/26/2016 11:07:35 AM,694.9,100,
9/26/2016 11:07:36 AM,694.5,100,
9/26/2016 11:07:37 AM,693.8,100,
9/26/2016 11:07:38 AM,693.5,100,
9/26/2016 11:07:39 AM,693.6,100,
9/26/2016 11:07:40 AM,693.7,100,
9/26/2016 11:07:41 AM,694.1,100,
9/26/2016 11:07:42 AM,694.6,100,
9/26/2016 11:07:43 AM,694.7,100,
9/26/2016 11:07:44 AM,694.7,100,
9/26/2016 11:07:45 AM,694.7,100,
9/26/2016 11:07:46 AM,694.7,100,
9/26/2016 11:07:47 AM,694.7,100,
9/26/2016 11:07:48 AM,694.7,100,
9/26/2016 11:07:49 AM,694.7,100,
