START_TIME, END_TIME, CHAMBER, RECIPE, LOT_ID, WAFER_ID, SLOT_NUM
9/26/2016 1:49:34 PM,9/26/2016 1:50:54 PM,SDC1,AVacPrewet,notspecified,notspecified,0
DATE_TIME, Manometer1000,Manometer100,
9/26/2016 1:49:34 PM,692.3,100,
9/26/2016 1:49:35 PM,558.1,100,
9/26/2016 1:49:36 PM,425.6,100,
9/26/2016 1:49:37 PM,245.5,100,
9/26/2016 1:49:38 PM,153.5,100,
9/26/2016 1:49:39 PM,105.2,100,
9/26/2016 1:49:40 PM,105.2,89.6,
9/26/2016 1:49:41 PM,82.6,72.6,
9/26/2016 1:49:42 PM,69.2,63.3,
9/26/2016 1:49:43 PM,62,56.1,
9/26/2016 1:49:44 PM,55.8,51.8,
9/26/2016 1:49:45 PM,52.2,49,
9/26/2016 1:49:46 PM,49.7,46.7,
9/26/2016 1:49:47 PM,47.3,44.4,
9/26/2016 1:49:48 PM,45.3,43,
9/26/2016 1:49:49 PM,43.7,41.5,
9/26/2016 1:49:51 PM,42.5,43.6,
9/26/2016 1:49:52 PM,46.1,48.3,
9/26/2016 1:49:53 PM,49,49.6,
9/26/2016 1:49:54 PM,49.9,49.8,
9/26/2016 1:49:55 PM,50.1,49.9,
9/26/2016 1:49:56 PM,50.2,50.4,
9/26/2016 1:49:57 PM,52.1,50.6,
9/26/2016 1:49:58 PM,51.5,50.3,
9/26/2016 1:49:59 PM,51.2,50.5,
9/26/2016 1:50:00 PM,51.5,51,
9/26/2016 1:50:01 PM,98.3,73.4,
9/26/2016 1:50:02 PM,482.2,100,
9/26/2016 1:50:03 PM,561.9,100,
9/26/2016 1:50:04 PM,636,100,
9/26/2016 1:50:05 PM,678.5,100,
9/26/2016 1:50:06 PM,690.8,100,
9/26/2016 1:50:07 PM,692.9,100,
9/26/2016 1:50:08 PM,693.2,100,
9/26/2016 1:50:09 PM,693.3,100,
9/26/2016 1:50:10 PM,693.2,100,
9/26/2016 1:50:11 PM,693.1,100,
9/26/2016 1:50:12 PM,693.1,100,
9/26/2016 1:50:13 PM,693.1,100,
9/26/2016 1:50:14 PM,693,100,
9/26/2016 1:50:15 PM,693,100,
9/26/2016 1:50:16 PM,693,100,
9/26/2016 1:50:17 PM,693,100,
9/26/2016 1:50:18 PM,693,100,
9/26/2016 1:50:19 PM,693,100,
9/26/2016 1:50:20 PM,693,100,
9/26/2016 1:50:21 PM,693,100,
9/26/2016 1:50:22 PM,693,100,
9/26/2016 1:50:23 PM,701,100,
9/26/2016 1:50:24 PM,697.9,100,
9/26/2016 1:50:25 PM,696.2,100,
9/26/2016 1:50:26 PM,696,100,
9/26/2016 1:50:27 PM,696.5,100,
9/26/2016 1:50:28 PM,696.4,100,
9/26/2016 1:50:29 PM,696.2,100,
9/26/2016 1:50:30 PM,696.9,100,
9/26/2016 1:50:31 PM,697.2,100,
9/26/2016 1:50:32 PM,697,100,
9/26/2016 1:50:33 PM,696.9,100,
9/26/2016 1:50:34 PM,696,100,
9/26/2016 1:50:35 PM,694.8,100,
9/26/2016 1:50:36 PM,693.7,100,
9/26/2016 1:50:37 PM,693.4,100,
9/26/2016 1:50:38 PM,693.3,100,
9/26/2016 1:50:39 PM,693.3,100,
9/26/2016 1:50:40 PM,693.3,100,
9/26/2016 1:50:41 PM,693.3,100,
9/26/2016 1:50:42 PM,693.3,100,
9/26/2016 1:50:43 PM,693.3,100,
9/26/2016 1:50:44 PM,693.3,100,
9/26/2016 1:50:45 PM,693.3,100,
9/26/2016 1:50:46 PM,693.2,100,
9/26/2016 1:50:47 PM,693,100,
9/26/2016 1:50:48 PM,693,100,
9/26/2016 1:50:49 PM,693,100,
9/26/2016 1:50:50 PM,692.9,100,
9/26/2016 1:50:51 PM,692.9,100,
9/26/2016 1:50:52 PM,692.9,100,
9/26/2016 1:50:53 PM,692.9,100,
9/26/2016 1:50:54 PM,692.9,100,
