START_TIME, END_TIME, CHAMBER, RECIPE, LOT_ID, WAFER_ID, SLOT_NUM
10/11/2017 9:21:43 AM,10/11/2017 9:22:48 AM,SDC1,161110 Vac Prewet,notspecified,notspecified,0
DATE_TIME, Manometer1000,Manometer100,
10/11/2017 9:22:20 AM,754.295,100,
10/11/2017 9:22:21 AM,558.763,100,
10/11/2017 9:22:22 AM,203.711,100,
10/11/2017 9:22:23 AM,124.912,99.89,
10/11/2017 9:22:24 AM,82.888,81.6,
10/11/2017 9:22:25 AM,54.476,54.28,
10/11/2017 9:22:26 AM,38.697,36.921,
10/11/2017 9:22:27 AM,29.664,27.973,
10/11/2017 9:22:28 AM,23.56,21.909,
10/11/2017 9:22:29 AM,20.051,18.122,
10/11/2017 9:22:30 AM,16.999,15.29,
10/11/2017 9:22:31 AM,14.649,13.272,
10/11/2017 9:22:32 AM,13.001,11.866,
10/11/2017 9:22:33 AM,11.75,10.718,
10/11/2017 9:22:34 AM,10.743,9.842,
10/11/2017 9:22:35 AM,10.01,9.149,
10/11/2017 9:22:36 AM,9.4,8.621,
10/11/2017 9:22:37 AM,11.628,8.213,
10/11/2017 9:22:38 AM,19.379,17.716,
10/11/2017 9:22:39 AM,16.663,15.519,
10/11/2017 9:22:40 AM,15.656,15.024,
10/11/2017 9:22:41 AM,15.381,14.954,
10/11/2017 9:22:42 AM,15.32,14.942,
10/11/2017 9:22:43 AM,15.29,14.945,
10/11/2017 9:22:44 AM,15.29,14.945,
10/11/2017 9:22:45 AM,15.29,14.948,
10/11/2017 9:22:46 AM,15.32,14.948,
10/11/2017 9:22:47 AM,15.32,14.951,
10/11/2017 9:22:48 AM,15.29,14.948,
10/11/2017 9:22:49 AM,15.29,14.954,
10/11/2017 9:22:50 AM,15.259,14.951,
10/11/2017 9:22:51 AM,18.25,20.17,
10/11/2017 9:22:52 AM,23.652,23.728,
10/11/2017 9:22:53 AM,24.384,24.32,
10/11/2017 9:22:54 AM,24.903,24.601,
10/11/2017 9:22:55 AM,25.178,24.821,
10/11/2017 9:22:56 AM,257.057,79.54,
10/11/2017 9:22:57 AM,552.934,100,
10/11/2017 9:22:58 AM,634.693,100,
10/11/2017 9:22:59 AM,713.309,100,
10/11/2017 9:23:00 AM,747.581,100,
10/11/2017 9:23:01 AM,752.525,100,
10/11/2017 9:23:02 AM,753.38,100,
10/11/2017 9:23:03 AM,753.471,100,
10/11/2017 9:23:04 AM,753.41,100,
10/11/2017 9:23:05 AM,753.319,100,
10/11/2017 9:23:06 AM,753.166,100,
10/11/2017 9:23:07 AM,752.77,100,
10/11/2017 9:23:08 AM,752.678,100,
10/11/2017 9:23:09 AM,752.739,100,
10/11/2017 9:23:10 AM,752.861,100,
10/11/2017 9:23:11 AM,753.014,100,
10/11/2017 9:23:12 AM,753.044,100,
10/11/2017 9:23:13 AM,753.014,100,
10/11/2017 9:23:14 AM,753.014,100,
10/11/2017 9:23:15 AM,752.983,100,
10/11/2017 9:23:16 AM,753.014,100,
10/11/2017 9:23:17 AM,752.983,100,
10/11/2017 9:23:18 AM,753.014,100,
10/11/2017 9:23:19 AM,753.014,100,
10/11/2017 9:23:20 AM,752.983,100,
10/11/2017 9:23:21 AM,753.014,100,
10/11/2017 9:23:22 AM,752.983,100,
10/11/2017 9:23:23 AM,752.983,100,
10/11/2017 9:23:24 AM,752.983,100,
10/11/2017 9:23:25 AM,752.983,100,
